muni	source_url_norm	date_iso	crosswalked_type	kind	source_url	node_id	docSha
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/20-04-2026-ordre-du-jour.pdf	2026-04-20	changement-de-zonage	rezonage	https://villesaintraymond.com/uploads/documents/pieces-jointes/20-04-2026-ordre-du-jour.pdf	event-saint-raymond-rezonage-hc14-2026-04-20	2b0a6e2c42b7fc9d1fcd840ba52b5d6f77ff07f3f93cb21d39e94811c6c2bfd9
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/09-02-2026-Ordre-du-jour.pdf	2026-02-09	changement-de-zonage	rezonage	https://villesaintraymond.com/uploads/documents/pieces-jointes/09-02-2026-Ordre-du-jour.pdf	event-saint-raymond-rezonage-hc15-2026-02-09	8c2b4d6ba1718c102dc66f7a51756bf514ab488790b828fc30866f185cab3ae8
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/09-02-2026-Ordre-du-jour.pdf	2026-02-09	changement-de-zonage	rezonage	https://villesaintraymond.com/uploads/documents/pieces-jointes/09-02-2026-Ordre-du-jour.pdf	event-saint-raymond-rezonage-hc13-2026-02-09	8c2b4d6ba1718c102dc66f7a51756bf514ab488790b828fc30866f185cab3ae8
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/20-04-2026-ordre-du-jour.pdf	2026-04-20	changement-de-zonage	rezonage	https://villesaintraymond.com/uploads/documents/pieces-jointes/20-04-2026-ordre-du-jour.pdf	event-saint-raymond-rezonage-ru30-2026-04-20	2b0a6e2c42b7fc9d1fcd840ba52b5d6f77ff07f3f93cb21d39e94811c6c2bfd9
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/11-05-2026-Ordre-du-jour.pdf	2026-05-11	changement-de-zonage	rezonage	https://villesaintraymond.com/uploads/documents/pieces-jointes/11-05-2026-Ordre-du-jour.pdf	event-saint-raymond-rezonage-hb9-2026-05-11	2c04acd0bcc7e4b437cad5645cb883fd604117db9b83b0bbd2e1aac299a38f3c
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/12-01-2026-Ordre-du-jour.pdf	2026-01-12	derogation-mineure	derogation	https://villesaintraymond.com/uploads/documents/pieces-jointes/12-01-2026-Ordre-du-jour.pdf	event-saint-raymond-derogation-6463883-2026-01	3db560a42373b1106be391bbe75427c425ba30d4fc81fdcf7b9303007ed1df0f
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/12-01-2026-Ordre-du-jour.pdf	2026-01-12	derogation-mineure	derogation	https://villesaintraymond.com/uploads/documents/pieces-jointes/12-01-2026-Ordre-du-jour.pdf	event-saint-raymond-derogation-3515446-2026-01	3db560a42373b1106be391bbe75427c425ba30d4fc81fdcf7b9303007ed1df0f
saint-raymond	https://villesaintraymond.com/uploads/documents/pieces-jointes/11-05-2026-Ordre-du-jour.pdf	2026-05-11	derogation-mineure	derogation	https://villesaintraymond.com/uploads/documents/pieces-jointes/11-05-2026-Ordre-du-jour.pdf	event-saint-raymond-derogation-6727555-2026-05	2c04acd0bcc7e4b437cad5645cb883fd604117db9b83b0bbd2e1aac299a38f3c
sutton	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-05-27-VF.pdf	2026-05-27	changement-de-zonage	rezonage	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-05-27-VF.pdf	event-sutton-refonte-reglementaire-2026-05-27	6c9d8c4486b8fa1c5f2898800a39bc73c04d5ed1f1a00b9ceb6c621c2e2ffd3e
sutton	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-06-03-V3.pdf	2026-06-03	ppcmoi	ppcmoi	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-06-03-V3.pdf	event-sutton-ppcmoi-sentiers-maple-2026-06	f13b67c9c09034b992bed6ba40961b13c0594a15456b5db51068f675bcbef945
sutton	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-06-03-V3.pdf	2026-06-03	derogation-mineure	derogation	https://sutton.ca/wp-content/uploads/2025/12/WEB-Proces-verbal-2026-06-03-V3.pdf	event-sutton-usage-conditionnel-santerre-2026-06	f13b67c9c09034b992bed6ba40961b13c0594a15456b5db51068f675bcbef945
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260112.pdf	2026-01-12	derogation-mineure	derogation	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260112.pdf	event-coaticook-dero-26-01-38196	96ef944116ecfd9c17b88bba569254560a6c0585616ac82182b8897740a4e352
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20210111.pdf	2021-01-11	derogation-mineure	derogation	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20210111.pdf	event-coaticook-dero-21-01-35729	5a5d4403465e89683e3328ffe443ea64de829ae18e098e4363fa98aaf5c4d633
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20210111.pdf	2021-01-11	derogation-mineure	derogation	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20210111.pdf	event-coaticook-dero-21-01-35730	5a5d4403465e89683e3328ffe443ea64de829ae18e098e4363fa98aaf5c4d633
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260129%20extra.pdf	2026-01-29	cptaq	cptaq	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260129%20extra.pdf	event-coaticook-cptaq-26-01-38226	cbb669ee5555115db22bdcc2e69507fcd8eaf5abf4296c056f7170bce037a2c3
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260209.pdf	2026-02-09	changement-de-zonage	rezonage	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260209.pdf	event-coaticook-rezonage-26-02-38262	8c4662d38ea0060e99cd112a1116291d6bd920f93908d4e87fd42527f71660dc
coaticook	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260209.pdf	2026-02-09	ppcmoi	ppcmoi	https://www.coaticook.ca/upload/DOCUMENTS/PV/PV20260209.pdf	event-coaticook-ppcmoi-26-02-38263	8c4662d38ea0060e99cd112a1116291d6bd920f93908d4e87fd42527f71660dc
saint-mathieu-de-beloeil	https://stmathieudebeloeil.ca/wp-content/uploads/2026/01/ODJ-SMB-2026-01-12.pdf	2026-01-12	changement-de-zonage	modification_zonage	https://stmathieudebeloeil.ca/wp-content/uploads/2026/01/ODJ-SMB-2026-01-12.pdf	event-saint-mathieu-de-beloeil-zonage-aero-2026-01-12	101e534328a6fc717d880bdfd464c9695e93989411a7003a4e7e97c328b17696
