slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
westmount	Westmount	1	2.3	1	159	5040	4	100	1
saint-lambert	Saint-Lambert	2	2.3	1	0	5472	0	0	1
hampstead	Hampstead	3	2.3	1	0	1866	4	100	1
mont-royal	Mont-Royal	4	2.3	1	0	5795	6	100	1
montreal-ouest	Montréal-Ouest	5	2.3	1	0	1601	1	0	1
cote-saint-luc	Côte-Saint-Luc	6	2.3	1	0	4945	1	0	1
longueuil	Longueuil	7	2.3	1	6305	67010	4	100	1
brossard	Brossard	8	none	0	0	24823	nd	nd	1
sainte-catherine	Sainte-Catherine	9	2.3	1	0	5754	16	94	1
la-prairie	La Prairie	10	2.3	1	0	9468	14	100	1
delson	Delson	11	2.3	1	0	3330	17	100	1
candiac	Candiac	12	2.3	1	0	7725	8	12	1
montreal-est	Montréal-Est	13	2.3	1	0	1678	5	100	1
boucherville	Boucherville	14	2.3	1	0	16269	9	78	1
dorval	Dorval	15	2.3	1	0	6245	13	54	1
lile-dorval	L'Île-Dorval	16	none	0	0	27261	nd	nd	1
saint-constant	Saint-Constant	17	2.2	0	0	11622	19	0	1
saint-bruno-de-montarville	Saint-Bruno-de-Montarville	18	2.3	1	0	10261	13	100	1
carignan	Carignan	19	2.3	1	0	6654	17	35	1
dollard-des-ormeaux	Dollard-Des Ormeaux	20	2.3	1	0	12563	3	100	1
pointe-claire	Pointe-Claire	21	2.3	1	0	10815	29	100	1
saint-philippe	Saint-Philippe	22	2.2	0	0	5202	9	0	1
saint-mathieu	Saint-Mathieu	23	2.3	1	0	1444	12	92	1
chateauguay	Châteauguay	24	2.3	1	0	18765	9	100	1
sainte-julie	Sainte-Julie	25	2.3	1	0	10772	10	100	1
saint-basile-le-grand	Saint-Basile-le-Grand	26	2.3	1	0	10312	6	100	1
chambly	Chambly	27	2.3	1	0	12027	2	100	1
rosemere	Rosemère	28	2.3	1	117	5767	11	64	1
varennes	Varennes	29	2.3	1	0	8287	8	100	1
kirkland	Kirkland	30	none	0	0	6878	nd	nd	1
bois-des-filion	Bois-des-Filion	31	2.3	1	0	3611	11	18	0
saint-isidore-roussillon	Saint-Isidore	32	2.3	1	0	0	0	0	0
beaconsfield	Beaconsfield	33	2.3	1	0	7111	16	0	0
lorraine	Lorraine	34	2.3	1	0	3834	13	69	0
lery	Léry	35	2.3	1	0	1771	28	36	0
mercier	Mercier	36	2.3	1	0	nd	11	100	0
charlemagne	Charlemagne	37	2.3	1	nd	nd	17	94	0
boisbriand	Boisbriand	38	2.3	1	0	9969	16	50	0
deux-montagnes	Deux-Montagnes	39	2.3	1	0	6429	11	100	0
mcmasterville	McMasterville	40	2.3	1	0	nd	14	64	0
sainte-therese	Sainte-Thérèse	41	2.3	1	nd	nd	8	100	0
saint-mathias-sur-richelieu	Saint-Mathias-sur-Richelieu	42	2.3	1	nd	nd	8	100	0
saint-mathieu-de-beloeil	Saint-Mathieu-de-Beloeil	43	2.3	1	0	nd	22	27	0
saint-amable	Saint-Amable	44	2.3	1	nd	nd	15	100	0
terrebonne	Terrebonne	45	2.3	1	0	nd	0	0	0
saint-remi	Saint-Rémi	46	2.3	1	0	nd	8	62	0
otterburn-park	Otterburn Park	47	2.3	1	nd	nd	9	100	0
saint-jacques-le-mineur	Saint-Jacques-le-Mineur	48	2.3	1	0	nd	9	44	0
richelieu	Richelieu	49	2.3	1	0	nd	16	100	0
beloeil	Beloeil	50	2.3	1	0	9009	10	50	0
baie-durfe	Baie-D'Urfé	51	2.3	1	0	1730	3	100	0
sainte-marthe-sur-le-lac	Sainte-Marthe-sur-le-Lac	52	2.2	0	0	nd	32	0	0
saint-jean-sur-richelieu	Saint-Jean-sur-Richelieu	53	2.3	1	0	nd	39	0	0
mascouche	Mascouche	54	2.3	1	0	nd	9	44	0
saint-eustache	Saint-Eustache	55	2.3	1	0	nd	221	51	0
notre-dame-de-lile-perrot	Notre-Dame-de-l'Île-Perrot	56	2.3	1	0	nd	0	0	0
repentigny	Repentigny	57	2.3	1	nd	nd	5	80	0
saint-edouard	Saint-Édouard	58	2.3	1	0	nd	0	0	0
sainte-anne-de-bellevue	Sainte-Anne-de-Bellevue	59	2.3	1	0	nd	2	100	0
saint-michel	Saint-Michel	60	2.2	0	nd	nd	24	0	0
blainville	Blainville	61	2.3	1	0	20962	9	100	0
pointe-calumet	Pointe-Calumet	62	2.3	1	0	nd	6	100	0
mont-saint-hilaire	Mont-Saint-Hilaire	63	2.3	1	nd	nd	8	100	0
senneville	Senneville	64	2.3	1	0	nd	1	0	0
marieville	Marieville	65	none	0	0	nd	nd	nd	0
lile-perrot	L'Île-Perrot	66	2.3	1	0	3977	23	65	0
vercheres	Verchères	67	2.3	1	0	nd	5	100	0
saint-marc-sur-richelieu	Saint-Marc-sur-Richelieu	68	2.3	1	0	nd	3	100	0
sainte-martine	Sainte-Martine	69	2.2	0	0	nd	46	0	0
beauharnois	Beauharnois	70	2.3	1	0	6003	0	0	0
sainte-anne-des-plaines	Sainte-Anne-des-Plaines	71	2.3	1	0	nd	15	100	0
saint-urbain-premier	Saint-Urbain-Premier	72	2.3	1	0	nd	14	21	0
terrasse-vaudreuil	Terrasse-Vaudreuil	73	2.3	1	0	nd	6	83	0
saint-joseph-du-lac	Saint-Joseph-du-Lac	74	2.3	1	0	nd	22	100	0
saint-jean-baptiste	Saint-Jean-Baptiste	75	2.3	1	nd	nd	14	93	0
pincourt	Pincourt	76	2.3	1	0	nd	11	91	0
calixa-lavallee	Calixa-Lavallée	77	2.3	1	0	509	7	29	0
lile-cadieux	L'Île-Cadieux	78	2.3	1	0	17196	0	0	0
pointe-des-cascades	Pointe-des-Cascades	79	2.3	1	0	nd	12	50	0
saint-charles-sur-richelieu	Saint-Charles-sur-Richelieu	80	2.3	1	nd	nd	8	100	0
napierville	Napierville	81	2.3	1	0	nd	0	0	0
vaudreuil-sur-le-lac	Vaudreuil-sur-le-Lac	82	2.3	1	0	nd	2	100	0
saint-blaise-sur-richelieu	Saint-Blaise-sur-Richelieu	83	2.3	1	0	nd	14	29	0
mont-saint-gregoire	Mont-Saint-Grégoire	84	2.3	1	0	nd	0	0	0
sainte-madeleine	Sainte-Madeleine	85	2.3	1	nd	nd	0	0	0
saint-cyprien-de-napierville	Saint-Cyprien-de-Napierville	86	2.3	1	0	nd	0	0	0
saint-patrice-de-sherrington	Saint-Patrice-de-Sherrington	87	2.3	1	0	nd	8	0	0
saint-roch-de-lachigan	Saint-Roch-de-l'Achigan	88	2.2	0	0	nd	9	0	0
sainte-angele-de-monnoir	Sainte-Angèle-de-Monnoir	89	2.3	1	0	nd	13	31	0
lepiphanie	L'Épiphanie	90	2.3	1	0	4493	0	0	0
oka	Oka	91	2.3	1	0	nd	0	0	0
sainte-marie-madeleine	Sainte-Marie-Madeleine	92	2.3	1	nd	nd	0	0	0
saint-etienne-de-beauharnois	Saint-Étienne-de-Beauharnois	93	2.3	1	0	nd	0	0	0
sainte-clotilde	Sainte-Clotilde	94	2.2	0	0	nd	23	0	0
vaudreuil-dorion	Vaudreuil-Dorion	95	2.2	0	0	nd	54	0	0
