slug	name	priorityRank	graph_version
westmount	Westmount	1	2.3
saint-lambert	Saint-Lambert	2	2.3
hampstead	Hampstead	3	2.3
mont-royal	Mont-Royal	4	2.3
montreal-ouest	Montréal-Ouest	5	2.3
cote-saint-luc	Côte-Saint-Luc	6	2.3
longueuil	Longueuil	7	2.3
brossard	Brossard	8	none
sainte-catherine	Sainte-Catherine	9	2.3
la-prairie	La Prairie	10	2.3
delson	Delson	11	2.3
candiac	Candiac	12	2.3
montreal-est	Montréal-Est	13	2.3
boucherville	Boucherville	14	2.3
dorval	Dorval	15	2.3
lile-dorval	L'Île-Dorval	16	none
saint-constant	Saint-Constant	17	2.2
saint-bruno-de-montarville	Saint-Bruno-de-Montarville	18	2.3
carignan	Carignan	19	2.3
dollard-des-ormeaux	Dollard-Des Ormeaux	20	2.3
pointe-claire	Pointe-Claire	21	2.3
saint-philippe	Saint-Philippe	22	2.2
saint-mathieu	Saint-Mathieu	23	2.3
chateauguay	Châteauguay	24	2.3
sainte-julie	Sainte-Julie	25	2.3
saint-basile-le-grand	Saint-Basile-le-Grand	26	2.3
chambly	Chambly	27	2.3
rosemere	Rosemère	28	2.3
varennes	Varennes	29	2.3
kirkland	Kirkland	30	none
bois-des-filion	Bois-des-Filion	31	2.3
saint-isidore-roussillon	Saint-Isidore	32	2.3
beaconsfield	Beaconsfield	33	2.3
lorraine	Lorraine	34	2.3
lery	Léry	35	2.3
mercier	Mercier	36	2.3
charlemagne	Charlemagne	37	2.3
boisbriand	Boisbriand	38	2.3
deux-montagnes	Deux-Montagnes	39	2.3
mcmasterville	McMasterville	40	2.3
sainte-therese	Sainte-Thérèse	41	2.3
saint-mathias-sur-richelieu	Saint-Mathias-sur-Richelieu	42	2.3
saint-mathieu-de-beloeil	Saint-Mathieu-de-Beloeil	43	2.3
saint-amable	Saint-Amable	44	2.3
terrebonne	Terrebonne	45	2.3
saint-remi	Saint-Rémi	46	2.3
otterburn-park	Otterburn Park	47	2.3
saint-jacques-le-mineur	Saint-Jacques-le-Mineur	48	2.3
richelieu	Richelieu	49	2.3
beloeil	Beloeil	50	2.3
baie-durfe	Baie-D'Urfé	51	2.3
sainte-marthe-sur-le-lac	Sainte-Marthe-sur-le-Lac	52	2.2
saint-jean-sur-richelieu	Saint-Jean-sur-Richelieu	53	2.3
mascouche	Mascouche	54	2.3
saint-eustache	Saint-Eustache	55	2.3
notre-dame-de-lile-perrot	Notre-Dame-de-l'Île-Perrot	56	2.3
repentigny	Repentigny	57	2.3
saint-edouard	Saint-Édouard	58	2.3
sainte-anne-de-bellevue	Sainte-Anne-de-Bellevue	59	2.3
saint-michel	Saint-Michel	60	2.2
blainville	Blainville	61	2.3
pointe-calumet	Pointe-Calumet	62	2.3
mont-saint-hilaire	Mont-Saint-Hilaire	63	2.3
senneville	Senneville	64	2.3
marieville	Marieville	65	none
lile-perrot	L'Île-Perrot	66	2.3
vercheres	Verchères	67	2.3
saint-marc-sur-richelieu	Saint-Marc-sur-Richelieu	68	2.3
sainte-martine	Sainte-Martine	69	2.2
beauharnois	Beauharnois	70	2.3
sainte-anne-des-plaines	Sainte-Anne-des-Plaines	71	2.3
saint-urbain-premier	Saint-Urbain-Premier	72	2.3
terrasse-vaudreuil	Terrasse-Vaudreuil	73	2.3
saint-joseph-du-lac	Saint-Joseph-du-Lac	74	2.3
saint-jean-baptiste	Saint-Jean-Baptiste	75	2.3
pincourt	Pincourt	76	2.3
calixa-lavallee	Calixa-Lavallée	77	2.3
lile-cadieux	L'Île-Cadieux	78	2.3
pointe-des-cascades	Pointe-des-Cascades	79	2.3
saint-charles-sur-richelieu	Saint-Charles-sur-Richelieu	80	2.3
napierville	Napierville	81	2.3
vaudreuil-sur-le-lac	Vaudreuil-sur-le-Lac	82	2.3
saint-blaise-sur-richelieu	Saint-Blaise-sur-Richelieu	83	2.3
mont-saint-gregoire	Mont-Saint-Grégoire	84	2.3
sainte-madeleine	Sainte-Madeleine	85	2.3
saint-cyprien-de-napierville	Saint-Cyprien-de-Napierville	86	2.3
saint-patrice-de-sherrington	Saint-Patrice-de-Sherrington	87	2.3
saint-roch-de-lachigan	Saint-Roch-de-l'Achigan	88	2.2
sainte-angele-de-monnoir	Sainte-Angèle-de-Monnoir	89	2.3
lepiphanie	L'Épiphanie	90	2.3
oka	Oka	91	2.3
sainte-marie-madeleine	Sainte-Marie-Madeleine	92	2.3
saint-etienne-de-beauharnois	Saint-Étienne-de-Beauharnois	93	2.3
sainte-clotilde	Sainte-Clotilde	94	2.2
vaudreuil-dorion	Vaudreuil-Dorion	95	2.2
rougemont	Rougemont	96	2.3
saint-roch-ouest	Saint-Roch-Ouest	97	2.3
saint-sulpice	Saint-Sulpice	98	2.3
lassomption	L'Assomption	99	2.3
howick	Howick	100	2.3
mirabel	Mirabel	101	2.3
sainte-anne-de-sabrevois	Sainte-Anne-de-Sabrevois	102	2.3
saint-lin-laurentides	Saint-Lin-Laurentides	103	2.2
saint-damase-les-maskoutains	Saint-Damase	104	2.3
saint-antoine-sur-richelieu	Saint-Antoine-sur-Richelieu	105	2.3
saint-denis-sur-richelieu	Saint-Denis-sur-Richelieu	106	2.3
tres-saint-sacrement	Très-Saint-Sacrement	107	2.3
la-presentation	La Présentation	108	2.3
sainte-brigide-diberville	Sainte-Brigide-d'Iberville	109	2.2
les-cedres	Les Cèdres	110	2.3
saint-esprit	Saint-Esprit	111	2.2
saint-valentin	Saint-Valentin	112	2.2
sainte-sophie	Sainte-Sophie	113	2.2
hudson	Hudson	114	2.3
saint-alexandre	Saint-Alexandre	115	2.2
saint-chrysostome	Saint-Chrysostome	116	2.3
hemmingford-les-jardins-de-napierville	Hemmingford	117	2.3
saint-cesaire	Saint-Césaire	118	2.2
saint-paul-de-lile-aux-noix	Saint-Paul-de-l'Île-aux-Noix	119	2.2
saint-louis-de-gonzague-beauharnois-salaberry	Saint-Louis-de-Gonzague	120	2.3
salaberry-de-valleyfield	Salaberry-de-Valleyfield	121	2.3
saint-lazare	Saint-Lazare	122	2.3
saint-bernard-de-lacolle	Saint-Bernard-de-Lacolle	123	2.3
saint-alexis	Saint-Alexis	124	2.3
sainte-marie-salome	Sainte-Marie-Salomé	125	2.3
lavaltrie	Lavaltrie	126	2.3
contrecoeur	Contrecoeur	127	2.3
henryville	Henryville	128	2.3
saint-jerome	Saint-Jérôme	129	2.3
saint-placide	Saint-Placide	130	2.3
saint-jacques	Saint-Jacques	131	2.3
hemmingford-les-jardins-de-napierville-2	Hemmingford	132	2.3
saint-colomban	Saint-Colomban	133	2.3
saint-hyacinthe	Saint-Hyacinthe	134	2.2
lacolle	Lacolle	135	2.3
saint-sebastien-le-haut-richelieu	Saint-Sébastien	136	2.3
saint-paul	Saint-Paul	137	2.3
saint-pie	Saint-Pie	138	2.3
havelock	Havelock	139	2.3
sainte-sabine-brome-missisquoi	Sainte-Sabine	140	2.2
saint-bernard-de-michaudville	Saint-Bernard-de-Michaudville	141	2.3
crabtree	Crabtree	142	2.3
coteau-du-lac	Coteau-du-Lac	143	2.3
sainte-julienne	Sainte-Julienne	144	2.3
farnham	Farnham	145	2.3
saint-paul-dabbotsford	Saint-Paul-d'Abbotsford	146	2.3
saint-clet	Saint-Clet	147	2.3
saint-roch-de-richelieu	Saint-Roch-de-Richelieu	148	2.3
saint-jude	Saint-Jude	149	2.3
noyan	Noyan	150	2.3
